,flags,instruction,category,intent,response,tokens,chatgpt_class,correct
0,BLM,I don't know how I can report a problem with payments,PAYMENT,payment_issue,"We understand that reporting a problem with payments might seem confusing at times, but don't worry, we're here to guide you through the process. To report a problem with payments, you can visit our support page on our website and look for the ""Contact Us"" or ""Support"" section. There, you'll find different options to reach out to our support team, such as live chat, email, or a phone number. Our dedicated team will be ready to assist you and gather all the necessary information to address your payment issue promptly. Remember, your feedback is valuable to us, and we appreciate you taking the time to report any problems you encounter.",89.0,PAYMENT,True
1,BL,I need assistance trying to edit my shipping address,SHIPPING,change_shipping_address,"Indeed! I'm here to help you edit your shipping address. Please provide me with the details of the new address you would like to use, and I'll make sure it's updated in our system for you.",86.0,DELIVERY,False
2,BILMQ,where to notify of a trouble with online payments,PAYMENT,payment_issue,"I'm attuned to the idea that you're facing trouble with online payments, and I'm here to assist you. To notify us about this issue, you can reach out to our customer support team. They are available {{Customer Support Hours}} and can be contacted through the Live Chat on our website at {{Website URL}} or by calling {{Customer Support Phone Number}}. It's important that you notify us as soon as possible so that we can investigate the problem and provide you with a resolution. Thank you for bringing this to our attention, and we appreciate your patience while we work towards resolving the online payment trouble you're experiencing.",86.0,PAYMENT,True
3,BKM,get invoices from {{Person Name}},INVOICE,get_invoice,"I understand your need to access invoices from {{Salutation}} {{Client Last Name}}. Allow me to assist you with that. Please provide me with some more specific information regarding the invoices you are looking for, such as the date range, invoice numbers, or any other details that can help narrow down the search. Once I have that information, I'll swiftly retrieve the relevant invoices for you.",81.0,INVOICE,True
4,BKLM,edit details on {{Account Category}} account,ACCOUNT,edit_account,"How exhilarating it is to embark on this incredible journey of editing the details on your esteemed {{Account Category}} account!I am honored to be your trusted guide, committed to providing exceptional support and expert guidance throughout this process.

To proceed with editing the details on your {{Account Category}} account, I recommend accessing your account directly through our secure {{Online Company Portal Info}}. This will ensure the utmost safety and privacy of your personal information. Once logged in, you will have the flexibility to modify various details such as your contact information, billing address, or any other relevant details based on your preferences.

If you encounter any challenges or require additional assistance during the process, our dedicated customer support team is available to support you. They can provide step-by-step guidance and address any questions or concerns you may have. You can reach them by phone at {{Customer Support Phone Number}} or through our Live Chat feature on our website at {{Website URL}}.

Remember, your satisfaction and peace of mind are our top priorities. We are here to support you every step of the way, ensuring that your {{Account Category}} account reflects your changing needs and preferences. Let's embark on this journey together and make the necessary updates to enhance your account experience.",82.0,ACCOUNT,True
5,BILW,what do I need to do to check the fucking shipment methods?,DELIVERY,delivery_options,"Delving into the realm of shipment methods, are we? No worries, my friend, I've got you covered! To check the available shipment methods, follow these easy steps:

1. Visit our website or open our mobile app.
2. Navigate to the product or item you wish to purchase.
3. On the product page, look for the ""Shipping Options"" or ""Delivery"" section.
4. Click or tap on the section to expand it.
5. You'll find a list of the available shipment methods along with their details, estimated delivery times, and any associated costs.

If you have any further questions or need assistance while exploring the shipment methods, don't hesitate to reach out. We're here every step of the way to ensure a seamless and satisfying shopping experience.",90.0,DELIVERY,True
6,BKL,changing to {{Account Category}} account,ACCOUNT,switch_account,"Thank you for expressing your interest in upgrading to the {{Account Category}} account! Let me guide you through the process step by step:

1. Sign-in: Begin by logging into your current account.
2. Account Settings: Once you are logged in, navigate to your account settings. You can usually find this option by clicking on your profile icon.
3. Upgrade Options: Within your account settings, look for an option that says ""Upgrade Account"" or something similar.
4. {{Account Category}} Upgrade: Select the {{Account Category}} account upgrade from the available options.
5. Confirmation: Follow the on-screen prompts to confirm your upgrade and finalize the process.

If you encounter any difficulties during the upgrade process or have any further questions, please do not hesitate to reach out to our customer support team. We are here to assist you and ensure a smooth transition to your new {{Account Category}} account. Enjoy the exclusive benefits that come with being a {{Account Category}} member!",81.0,ACCOUNT,True
7,B,I need assistance editing the information on my user,ACCOUNT,edit_account,"How exciting it is to see how much you value editing the information on your user profile!I'm here to provide you with the guidance and support you need to make those changes. To edit the information on your user profile, you can follow these steps:

1. Log in to your account using your credentials.
2. Navigate to the ""Profile"" or ""Account Settings"" section.
3. Look for an ""Edit"" or ""Update"" button next to the information you want to modify.
4. Click on the button and make the necessary changes.
5. Remember to review and save your changes before exiting the page.

If you encounter any challenges or need further assistance during the process, please don't hesitate to reach out. We're here to help every step of the way!",86.0,ACCOUNT,True
8,BKL,update purchase {{Order Number}},ORDER,change_order,"We appreciate your request to update purchase number {{Order Number}}. Our team is dedicated to ensuring that your order meets your expectations. To assist you better, could you please specify the changes or updates you would like to make to your purchase? Feel free to provide any additional details or instructions you think would be helpful. We're here to help and ensure that you have a seamless shopping experience with us.",79.0,ORDER,True
9,BL,I don't know what I have to do to close my pro account,ACCOUNT,delete_account,"I apologize for any confusion or uncertainty you may have regarding the process of closing your pro account. Your satisfaction is important to us, and I'm here to guide you through the steps. To proceed with the closure of your pro account, please follow these instructions:
1. Log in to your account on our website or app.
2. Navigate to the account settings or profile section.
3. Look for the ""Close Account"" or ""Delete Account"" option.
4. Click on that option and carefully read any information or warnings provided.
5. Follow the prompts to confirm your decision and complete the account closure process.
Please note that closing your pro account will result in the permanent deletion of all your account data, including any saved preferences or personalized settings. If you have any remaining questions or need further assistance, don't hesitate to reach out. We're here to help you every step of the way.",91.0,CANCEL,False
